text,star
이런 영화를 만들어주셔서 감사합니다. ,10
절대보지마라 개노잼 ㅅㅂ ,1
"재난영화로서의 스토리와 배우들의 연기가 좋았다. 특유의 뭉클함과 스릴감은 높진않았지만, 재미있게 볼만했고 코믹요소도 좋았다. ",9
,10
서로를 자신보다 더 소중히 한 우정이었다. ,10
스토리도 재밌어요.마지막 조금허무해요. ,8
시작과 끝이조금 모자라는느낌 ,8
제니퍼 로렌스 때문에 봤는데 크게 기대 안해서 나름 볼만했음 ㅋ ,8
"강동원이 이렇게 연기를 못했었나? 제가 보기에는 스토리 전개도 엉성하고 주조연 캐릭터를 잘 살려주지 못했고 뜬금 없는 신파에 권효주의 등장은 좀 어색 갑자기 전 쎄OO 보는 줄 알았음 동아리 친구들이 갑자기 뭉쳐서 음악하는 부분은 정말억지스럽고 어색했음 영화를 여러편 보는 느낌 연결이 안되는 억지 전개 그리고 강동원이 망가진 캐릭터를 잘 소화하지 못했다 생각 이건 내용도 억지스럽고 어디서 많이 본 듯한 내용 전개의 짜집기 수준 영화 전우치, 군도의 강동원은 어디로 간 것인가? 역시 강동원은 신파연기는 안되는 비쥬얼 배우 ",1
"억지감동, 뜬금없는 억지감동을위한 행동, 흐지부지핱 내용전현적인 한국 국뽕 억지감동 영화 다신 한국영화 안본다 ~ 했는데 배우에 속아 봐버렸네 ",2
,10
일본은 천황페하를 위해서 싸우고 미국은 나라와 가족을 위해 싸우고 나중에 티비로 봤으면 후회할 뻔 했을거 같다최고로 멋지고 감동적이다.미국의 승리가 없었다면 지금의 우리나라는 어떻게 되었을까 ~ ,10
2019년 최고의 대작 ,10
결말이 에스프레소 원샷한 것처럼 많이 씁쓸했지만 재미와 작품성을 이렇게까지 둘다 완벽하게 잡은 영화는 정말 오랜만에 본 것 같다.  (한우 짜파구리 먹고싶다...) ,9
재미없었어요차라리 천문 두번을 보는게 나아요 ,1
약간 지루한 부분도 있지만 진지한 연기에 감동했습니다. ,10
몰입도가 떨어진다..한석규의 연기는 엄청나나 웃음포인트가 어색하고 전체적으로 지루하다 평점을 보고 기대하면 실망할수있다 그리고 장영실 캐릭터가 너무 안어울린다.. ,2
이런영화 또 없나 이감성최고다 ,10
부디 진부하다 하지 말길... 96년작 ,8
조직은 한번 빠지면 이렇게 무서운 것 ,10
,8
가끔 씩 꺼내보고싶은 첫사랑같은 영화 ,9
재미없데서 기대안했는데잼났음 ,10
,10
그냥 예고편 분위기에 빠져서 본영화인데 킬링으로 굳 ,10
와 진짜 이걸 영화라고 만든건가? 차승원표 코믹연기라 믿고 봤는데 진짜 허접의 극치네. ,2
국뽕 건드리는 영화 넘 만족했음 ,9
최고의 영화다.. 초반 이해 안되도 제발 끝까지 보시길. ,10
영상미 액션 스토리 빵빵함. 다만 작가나 감독이 미필인게 확실함....대위가 대령한테 맘먹는것도 어이상실 껌씹고경례도ㅋㅋ그리고 대령의 평균 나이대와 하는일을 잘 모르는듯....ㅋㅋ 대령이 저정도면 진짜 특급전사임 ㅋㅋㅋ ,8
반전의 반전...최고다 ,8
볼만하네.. ,8
사실에 기반한 최고의 영화 추천합니다 ,10
연기력 끝내주네요오랜만에 의미있는 영화보고 울었어요ㅠ ,10
적적하니 좋네요.. 연기 일품입니다 ,10
"오즈 야스지로, 미조구치 겐지가 나올 필요도 없이 구로사와 아키라 한 명 만으로도 역대 동아시아 영화감독 올킬인듯. 왕가위, 장이모, 이안, 봉준호, 김기덕 대 합해도 영화사에 남긴 족적만 보면 아키라 한 명이랑 비슷비슷 할듯. ",10
"연출이일단되게좋았고,볼때 우울한편이었지만제모습을보는거같기도했고, 다음날 그다음날에계속 조커영화가 맴도네요. 전 여운이진합니다.. ",9
영화 평점이 너무 낮네요 ,10
꿀잼!!! 또 보고싶음!! ,10
,10
액션이 현실적이여서 좋았지만 스토리랑 결말이 너무 뻔해서 재미가 없었음 ,5
내 생애 최고영화 알렉산더 ,10
기대이하입니다 졸렸어요 ,4
"별을 보고 싶은 세종과 별을 보여 주고 싶은 영실, 허진호 감독만의 섬세한 연출로 탄생한 '그 순간' 만큼 우리 모두는 별을 보고 싶었고, 별을 보여주고 싶었다. ",8
오로라 개발암 ... ,4
샤이닝에 나왔던 꼬마 ''댄''이  성인이되어서 나오는데 스토리는 연결되는데완전히 다른 스타일의 영화같습니다.   상대적으로 현실감은 샤이닝이 더 있는거같네요.  닥터슬립은 판타지쪽인듯...  재미는 샤이닝보다 훨씬 재밌습니다. ,7
2019년은 보헤미안 랩소디로 시작해서 포드V페라리로 끝난다 ,10
"역시 믿고보는 이병헌, 하정우알고보는 마블리입니다 ㅎㅎㅎ우리 나라 재난 영화 중에서 가장 괜찮은 작품 같아요. 모성애가 아닌 부성애를 강조한 것도 나름 좋았습니다. 스토리가 조금 억지인듯하지만 재난영화 특성 상 어쩔 수 없겠쥬 ",9
,10
조 파스텔 홀트하우젠 여신급이구나 ,10
"간만에 좋은 영화, 여운이 남는 영화 보고갑니다. 감사합니다 ",10
고증을 충실히 따른 밀리터리영화입니다! ,9
오늘도 광고댓글에 낚였다. 개연성은 어디에? ,2
한석규의 세종대왕이라면 나라도 발벗고 나서서 충신이 되었을 것 같음.. ,10
저는 재밌었습니다만.. 재미있었어요 기대를 안하고 봐서 그런가 맘편히 봤습니다 ,10
배우들 다 매력터지고 킬링타임용으로도 너무 좋아여! ,10
왜 조커의 행동이 전혀 죄가 아닌것 같은 생각이 드는 걸까? ,10
"드라큘라, 오멘, 이블데드 등등을 오마주한 가운데 스님이 인상적임. 공포영화보다는 종교영화가 아닌가 싶기도. 엔딩이 약한게 아쉬움. ",10
엔지니어 연기가 너무 훌륭하고 킴 목소리 정말 예뻐요. ,10
후반부 연출적인 부분이 몰입에 방해가 조금 있었지만 재미있게 관람했습니다. ,8
오랜만에 볼만한 전잰영화였다 ,10
시나리오도 너무 대단하고 수지빼고 연기도 다들 멋졌는데???왜 다들 욕하는지 이해를못하겠다 ,10
생각보다 재밌네. 페이들의 전투신이 그나마 살렸다. ,8
,10
감동스러우면서 배우들의 연기가 대단했다.흥미로운 장면도 함께 있어서 재미있었다. ,6
중간중간 지루한 진주만보다 훨 낫다. 진주만 초반에 복습하고 넘어가니 더욱 배경의 시간대가 넓고 총정리하는 느낌 ㅋ 군더더기없고 태평양전쟁의 전반적인 분위기를 잘 담아낸 대작이고 명작이다. 영화관에서 보는 영화의 참맛을 알게해주는 돈이 아깝지 않은 영화다. ,10
나만 재밌었나 ㅋㅋㅋㅋ 난 하정우식 개그가 너무 잘맞아서 보는 내내 재밌었음 ,10
볼 때 마다 하이퍼리얼리즘에 감탄하고 갑니다ㅠㅠ 20대에 연출하신 거 맞습니까... ㄷ ㄷ ㄷ 사냥의 시간도 대박나세요! ,10
이병헌 무공수행중  대사가 없오 ,2
낙하 비행 진심 멋있네요 ,10
다시봐도 명작입니다. 꼭 보세요 ,10
와 이한마디로끝난다! ,10
,10
말이 필요없음 배우들 연기때문에 게이가 될 뻔했다 ,10
최근본 영화중 젤 재밌게봄 ,9
개쩐다. 죽인다. 이게 액션이지 ,10
예고편을 본 듯한 부족한 서사 ,6
역사의 무거움..위기의식의 중요성 ,10
한석규는 역시 멋있다 연기도 넘 깔끔하고 배우 연기가 아깝다보는 내내 오글거리고 브로맨스영화인 줄좋은소재 좋은 배우 아깝다 ,7
웃기려고 노력했고 액션하려 노력한것같은데 재미없음. 애쓴다는 느낌? 스토리 자체가 탄탄하지도 않고 흐지부지했음 기대안하고 봤는데도 볼만하지않음. 재미있다는 사람들은 아마 웃기려고 노력한부분을 재밌어 하는것 같음 똥싸다만 느낌의 결말... 아니다 똥다싸고 안닦고 나간 느낌의 결말이였음 배우들의 연기를 담아내지 못한것같음 억지로 눈물짜내는 것도..쫌..하...연기 다 좋은데 배우들 다 정말좋아하는 배우들인데 안타깝다..그냥 ,2
미장센이 다했다. 역시 장이머우 ,8
재밌고 감동포인트도 조금 있어서 좋은데욕이 정말 너무 많이 나와서 놀랐음 ^^..스토리면에서도 끝마무리가 살짝 안된기분..그래도 가볍게 보기엔 좋아요! ,7
오로라랑 왕자 쌍으로 대가리 꽃밭 ,4
엄청 재밌는영화라고 추천은 못하겠지만확실한건 엄청 좋은영화인건 분명하다. ,10
소피아 너무 좋앙..사랑혀.. ,10
극한직업같은 영화가 아니라 이런 영화가 1000만을 가야 된다 ^^ 미드웨이 해전이 아니었음 영원히 일본에게 고통받았을듯... ,10
"어벤져스랑 슈퍼맨이 싸우면 슈퍼맨이 이긴다. 다 이긴다. 무조건 이긴다. 슈퍼맨은 우주최강이다. 천상천하 유아독존. 그래서 저스티스리그는 망했다... 슈퍼맨만 있어도 되니까... 왜 모인건지 모르겠어서... 그냥 어벤져스가 모여서 흥행하니까 우리도 모이자 하고, 모일 필요가 없는데 모이기 위해서 모인거 밖에 안되니까... ",10
멧 딜론.  사랑을 위해서  모든 걸 버렸다 ,10
충분한 긴장감 재미를 준영화 ,10
,10
왜 선의라고 평가 하는지...선의에 앞서 오로지 순수하고 냉철한 이성을가진  마르타에게 전부인 유산을 남겨준 이유...그 마르타는 자신보다 더욱더 현명하게 유산을써줄수있을거라는 믿음때문에..선의가 바탕이 되어야겠지만 착해빠진 사람을 믿고 목을 그을수있었을까..? ,10
전쟁 영화에 남을 걸작을 박평식이는 4점 주었다 왜냐?? 내 생각에 튀어 보일라고 평식아 너 영화나 찍어봤냐?? 그만 튀어보일라 해라 평론가 중에 니가 낮은 점수주면 다 대박났어 평땡아 ,10
와.. 이건 그냥 뭐라 할말을 잃게 만드는 영화다. 정말 와닿는다.. 가장 가까이 있는건 보지도 못하면서 가장 멀리 있는것만 쫓아가는 우리 모습.. 그저 완벽한 영화 ,10
100점 만점에 10점 이지만 네이버의 마음은 10점까지인 모양다. 그저 전설앞에 선 한 미물에 불과한 제가 감히 점수 올립니다.(관객수가 4천명이 안되는데 평점은 20000명이 줬어 ㅋㅋㅋ) ,10
정석적인 전쟁영화 2d관에서 봤는데 기총소사가 오면 부르르 잼있는 킬링타임 ,8
"때로는 푹신하게, 때로는 저돌적으로, 결코 그들을 특이한 것처럼 보여주지 않는다. 그저 같이 있고 싶다는 순수한 이유 하나만을 중점으로 두기에 거슬리지 않는다 ",7
"실제사건을 모티브로 한 영화란 걸 알고 봐서 그런지 조금 더 영화에 몰입을 할 수 있었습니다.그렇지만, 사건보다는 인물들의 감정에 무게를 더 두고 있는 느낌..? 이 들었네요 ",9
특별히 극적이거나 다이나믹은 없지만 2시간내내 집중할수있었어요 새로운 시점에서 보는 세종과 장영실의 심오한 감정연기에 빠졌네요 역시 최민식 한석규입니다  마지막에는 눈물이 ㅠ 세종대왕의 고민에 넘 공감이갔어요 감사한 마음도 들고 역사는 흐른다 ,10
"스토리에 반전이 있고귀여운캐릭터의 강아지들이 많이 나와아이들도,어른들도 재밌어했어요.우리말녹음은 유행어도 종종 나와 유쾌했답니다 ",8
런닝타임이 너무 길어서 긴장감이 떨어짐. ,6
친구 3명이랑 보러갔는데 정말 볼만 했습니다. 두 배우분의 연기에 몰입도 되고 정망 오랜만에 볼만한 영화 남에게 추천할만한 영화가 나온것 같습니다. 영화 정말 잘 봤습니다. ,10
전쟁씬 빼고는 특별하게 남는 기억이 없음 ,8
"역시 최고의 연기, 좋은 연출 그러나 아쉬운 스토리. ",8
스토리 개연성 없는 뜬금포장면개많은 영화코미디영화로 만들었어야함 ㅋ ,1
당신 초능력은 뭐에요?난 부자야이게 젤 부러움 슈퍼맨 눈에서 레이져 나오는 것보다 더 부러운 대사였음ㅋㅋㅋ 그리고 마더 박스 되게 허무하게 뺏겨서 놀랐는데 아마존 부족이 마더박스 지키는 초반 부분이 굉장히 좋았다. 원더우먼도 배트맨과는 성향이 완전 다른데 리더로서 넘 멋지고.... 슈퍼맨 최고의 임팩트는 배리 호다닥 뛰어가는데 눈알 똑같이 굴러가니까 깜짝 놀라는 거.... 이때부터 벨붕의 향기가 진하게 느껴진달까ㅎ 배리가 차 하나 옮길때 슈퍼맨이 아파트 한채 옮기는 씬도 나오는 거 보니까 유머인가본데 난 웃겨서 좋았음 그래도 머 재밌음 액션도 많고요 헨리 카빌도 잘생김 ,9
잔잔한 감동..과하지 않는 코메디뻔하지 않은 스토리박정민의 연기와 마동석의 케미가 너무 자연스러워보는내내 미소를 머금게 하는 영화..하고 싶은 일 하세요 라는 메시지를 유쾌하게 던져준다 ,8
테러 받을 정도는 아닌데.. cg 수준이 진짜 끝내줌 내용은 애초에 진부할 것 같다고 생각하고 봐서 그런지 그냥 지루함 없이 본 거 생각하면 딱 킬링타임용. 사실 이병헌이 살린 것 같음 역시 연기 참 맛깔남 ,10
평범한 노동자 가족의 이야기를 다룬 영화입니다. 지독하게도 현실적이지만 이게 우리네 이야기이네요.. 담담하면서도 몰입도 있는 영화였습니다. ,8
임팩트는 약하지만 그렇다고 지루하지는 않았음.1점들 많이  주던데 1점짜린 아니고 7점이 맞을듯. 그렇다고 돈이나 시간 아까운 영화는 아니었음. 쏘쏘 ,8
,10
로그원의 반만 이라도 못하냐.... ,10
미친 세상속에서 안미치는게 미친 거다. ,9
진짜 이거 존잼 꼭 보세요 ,10
,10
호아킨 피닉스의 엄청난 조커 연기가 인상적이었지만 보다보니 정신이 피폐해질 것 같았다. 아무리봐도 15세 관람 영화는 아닌 것 같다. 부모님과 같이 봤는데 조금 후회함... ,7
"반전에 반전 느낌도 있고 너무 재밌었어요ㅠㅠ 스토리가 너무 탄탄하고 앞으로 미스터리 , 추리 영화 더 찾아보고싶어요퓨ㅠㅠ ",10
난 좋았음 재밌게봤음연기력 짱 ,10
재밌었어요흥민진진했어요 ,8
개새×× 젤 소름ㅜㅜㅜㅜ두 배우님의 연기 말할 필요 없이 대단하십니다. 결국 눈물 터지는 영화였습니다. 감사합니다. ,10
정말 두분의 연기에 푹 빠져 시간이 어찌 흘러갔는지 모를 정도로 재미있게 봤어요마음이 힐링되었습니다마지막....정말 감동 ,10
,10
위안부는 물론이고 한국과 일본을 둘러싼 이슈들을 미국인의 시선으로 바라본 영상. 극우주의자들의 발언을 비판할 때 감독 본인의 나래이션이 아닌 극우주의자들 본인의 과거 발언을 영상으로 동시에 보여주면서 그들의 주장이 얼마나 왜곡 되었는 지를 보여주는 영상 편집 기술이 매우 인상적이었습니다. ,10
